id	SNP
PF3D7_0103600	39
PF3D7_0104100_1	25
PSOP24	33
PF3D7_0207300	20
PF3D7_0209000	13
PF3D7_0211700	31
PF3D7_0212800	17
PF3D7_0217200	53
PF3D7_0220800	14
PfSERA2_1	53
PfSERA3	31
PF3D7_0311900	32
B9	38
PfCSP_1	50
ASP	16
Pfs16	11
PF3D7_0411900_1	19
PF3D7_0411900_2	19
PfDHFR_1	4
PfDHFR_2	6
PF3D7_0419900_2	40
PF3D7_0422500	24
PF3D7_0424400	37
PF3D7_0401900	37
PF3D7_0501800	28
PF3D7_0503200	40
PF3D7_0504400	25
P38	38
PF3D7_0508900	45
PF3D7_0519300	16
PF3D7_0525100	22
PfMDR1_1	15
PfMDR1_2	9
PfMDR1_3	13
PfMDR1_4	15
PF3D7_0612900	38
PF3D7_0615900	60
MSP10	47
CS	21
PF3D7_0630600	7
RAMA	14
PF3D7_0710400	27
PF3D7_0711500	17
PF3D7_0716300	15
PF3D7_0724700	21
PF3D7_0728200	37
PF3D7_0729700	43
PF3D7_0802000	24
PF3D7_0806200	17
PF3D7_0806300	10
PF3D7_0807800	19
PF3D7_0809400	26
PfDHPS_3	8
PF3D7_0827100	21
GAMA	20
PF3D7_0829800	32
PF3D7_0830800_1	23
PF3D7_0830800_2	25
PfDHPS_2	6
PfDHPS_1	8
RhopH3	29
PF3D7_0905600	22
PF3D7_0910000	25
PF3D7_0935400	33
PF3D7_1007900	27
PF3D7_1008700	59
PF10_0119	30
PF3D7_1018600	33
PF3D7_1022000	20
PF3D7_1034900_1	23
PF3D7_1035700	33
MSP11.H103.MSP3.7	26
PF3D7_1035100	34
PF3D7_1110200	31
PF3D7_1114900	27
PF3D7_1125700	9
PF3D7_1126100_1	28
PF3D7_1126100_2	22
PF3D7_1129100	29
PF11_0373	40
PF3D7_1145400	33
PF3D7_1148700_1	27
PfAMA_1	28
PF3D7_1211900	23
GRP94	13
PF3D7_1224000	30
PF3D7_1233600	34
PF3D7_1239800_1	25
PF3D7_1246500	44
PF3D7_1250100	43
PF3D7_1250400	40
PF3D7_1252100	13
PF3D7_1302700	63
PF3D7_1302900	32
MAL13P1.50	21
PF3D7_1320700	19
PF13_0125	21
PF3D7_1322200	23
PF3D7_1329100	26
PF3D7_1332900	20
PF3D7_1333200	43
MSRP4	27
MSRP3	29
SPECT	29
PfKelch13C580Y	52
PF3D7_1346400	30
PF3D7_1352900	35
PF3D7_1353100	22
PF3D7_1354200	35
PfTRAP_1	46
PF3D7_1340400	38
PF3D7_1407800	31
PF3D7_1407900	36
PF3D7_1408000	35
PF3D7_1408100_1	27
PF3D7_1409700	28
PF3D7_1410300	43
PF3D7_1418100	20
Pf113	24
PF3D7_1429500	26
PF3D7_1429800	20
PF3D7_1447900	24
PF3D7_1448500	36
GEST	20
PF3D7_1455300	36
PF3D7_1464700	26
PF3D7_1465800	30
PF3D7_1466200	32
PF3D7_1466800	29
PF3D7_1469600	52
PF3D7_1472300	36
PF3D7_1473700	53
PF3D7_1475900	19
PvDHFR	0
